Accession,SRA_Accession,Authors,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_028752,,"Sabir,J.S., Lam,T.T., Ahmed,M.M., Li,L., Shen,Y., Abo-Aba,S.E., Qureshi,M.I., Abu-Zeid,M., Zhang,Y., Khiyami,M.A., Alharbi,N.S., Hajrah,N.H., Sabir,M.J., Mutwakil,M.H., Kabli,S.A., Alsulaimany,F.A., Obaid,A.Y., Zhou,B., Smith,D.K., Holmes,E.C., Zhu,H., Guan,Y., Sabir,J.S.M., Lam,T.Y., AboAba,S., Abu-Zaid,M., Mutwakil,M.H.Z., Alsulaimany,F.A.S.",2016-01-05T00:00:00Z,camel/Riyadh/Ry141/2015,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),27395,RefSeq,complete,,,1,Saudi Arabia,Saudi Arabia,,Camelus,,2015/3/1,,"Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome"
NC_002645,,"Ziebuhr,J., Thiel,V., Gorbalenya,A.E., Herold,J., Schelle,B., Siddell,S.G.",2001-01-11T00:00:00Z,,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),27317,RefSeq,complete,,,2,,,,,,,,"Human coronavirus 229E, complete genome"
OP131705,,"Chen,Y., Liu,S., Gao,J., Cai,J.",2022-08-24T00:00:00Z,HCoV-229E/CHN/Zhejiang-JY07/2019,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),850,GenBank,partial,,,,China,China,,Homo sapiens,oronasopharynx,2019/8/2,,"Human coronavirus 229E isolate HCoV-229E/CHN/Zhejiang-JY07/2019 spike glycoprotein (S) gene, partial cds"
OP131706,,"Chen,Y., Liu,S., Gao,J., Cai,J.",2022-08-24T00:00:00Z,HCoV-229E/CHN/Zhejiang-JY13/2019,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),850,GenBank,partial,,,,China,China,,Homo sapiens,oronasopharynx,2019/8/2,,"Human coronavirus 229E isolate HCoV-229E/CHN/Zhejiang-JY13/2019 spike glycoprotein (S) gene, partial cds"
OP131707,,"Chen,Y., Liu,S., Gao,J., Cai,J.",2022-08-24T00:00:00Z,HCoV-229E/CHN/Zhejiang-JY21/2019,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),850,GenBank,partial,,,,China,China,,Homo sapiens,oronasopharynx,2019/8/6,,"Human coronavirus 229E isolate HCoV-229E/CHN/Zhejiang-JY21/2019 spike glycoprotein (S) gene, partial cds"
OP131708,,"Chen,Y., Liu,S., Gao,J., Cai,J.",2022-08-24T00:00:00Z,HCoV-229E/CHN/Zhejiang-JY22/2019,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),850,GenBank,partial,,,,China,China,,Homo sapiens,oronasopharynx,2019/8/6,,"Human coronavirus 229E isolate HCoV-229E/CHN/Zhejiang-JY22/2019 spike glycoprotein (S) gene, partial cds"
ON729316,SRR19551365,"Sereewit,J., Xie,H., Greninger,A.",2022-07-20T00:00:00Z,,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),27211,GenBank,complete,,,,USA,USA,,Homo sapiens,,2019,SAMN28886782,"Human coronavirus 229E strain SC0678, complete genome"
ON791801,SRR19666404,"Sereewit,J., Xie,H., Greninger,A.",2022-06-22T00:00:00Z,,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),27284,GenBank,complete,,,,USA,USA,,Homo sapiens,,2022,SAMN29124692,"Human coronavirus 229E strain LC22, complete genome"
MT063978,,,2022-05-29T00:00:00Z,PREDICT_CMAB72622,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/2/18,,"Human coronavirus 229E clone 2818 RNA-dependent RNA polymerase gene, partial cds"
MT063980,,,2022-05-29T00:00:00Z,PREDICT_CMAB73368,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/12,,"Human coronavirus 229E clone 2820 RNA-dependent RNA polymerase gene, partial cds"
MT063984,,,2022-05-29T00:00:00Z,PREDICT_CMAB73372,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/12,,"Human coronavirus 229E clone 2824 RNA-dependent RNA polymerase gene, partial cds"
MT063985,,,2022-05-29T00:00:00Z,PREDICT_CMAB73364,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/12,,"Human coronavirus 229E clone 2849 RNA-dependent RNA polymerase gene, partial cds"
MT063996,,,2022-05-29T00:00:00Z,PREDICT_CMAB73355,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/11,,"Human coronavirus 229E clone 4036 RNA-dependent RNA polymerase gene, partial cds"
MT063997,,,2022-05-29T00:00:00Z,PREDICT_CMAB73357,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/11,,"Human coronavirus 229E clone 4037 RNA-dependent RNA polymerase gene, partial cds"
MT063999,,,2022-05-29T00:00:00Z,PREDICT_CMAB73401,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/17,,"Human coronavirus 229E clone 4039 RNA-dependent RNA polymerase gene, partial cds"
MT064013,,,2022-05-29T00:00:00Z,PREDICT_CMAB74746,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/1/19,,"Human coronavirus 229E clone 4623 RNA-dependent RNA polymerase gene, partial cds"
MT064014,,,2022-05-29T00:00:00Z,PREDICT_CMAB74747,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/1/19,,"Human coronavirus 229E clone 4624 RNA-dependent RNA polymerase gene, partial cds"
MT064018,,,2022-05-29T00:00:00Z,PREDICT_CMAB73368,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,oronasopharynx,2017/4/12,,"Human coronavirus 229E clone 4750 RNA-dependent RNA polymerase gene, partial cds"
MT064022,,,2022-05-29T00:00:00Z,PREDICT_CMAB75005,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros curtus,feces,2018/5/30,,"Human coronavirus 229E clone 4767 RNA-dependent RNA polymerase gene, partial cds"
MT064024,,,2022-05-29T00:00:00Z,PREDICT_CMAB75013,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,oronasopharynx,2018/5/30,,"Human coronavirus 229E clone 4769 RNA-dependent RNA polymerase gene, partial cds"
MT064025,,,2022-05-29T00:00:00Z,PREDICT_CMAB75013,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4770 RNA-dependent RNA polymerase gene, partial cds"
MT064026,,,2022-05-29T00:00:00Z,PREDICT_CMAB75014,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4771 RNA-dependent RNA polymerase gene, partial cds"
MT064028,,,2022-05-29T00:00:00Z,PREDICT_CMAB75019,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4773 RNA-dependent RNA polymerase gene, partial cds"
MT064029,,,2022-05-29T00:00:00Z,PREDICT_CMAB75026,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4777 RNA-dependent RNA polymerase gene, partial cds"
MT064031,,,2022-05-29T00:00:00Z,PREDICT_CMAB75030,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4779 RNA-dependent RNA polymerase gene, partial cds"
